Returns,Volatility,Sharpe Ratio,Coal Weight,Gold Weight,Silver Weight,Copper Weight,Tin Weight,Coffee Weight,Wheat Weight,Milk Weight,Nifty50 Weight,JASDAQ Weight,CrudeOil Weight,BSE Weight,NASDAQ Weight,S&P 500 Weight,DJ Indutrial Weight,NYSE Weight,Russell 2000 Weight,Nikkei 225 Weight,Rice Weight,Cotton Weight,Gasoline Weight,Treasury Bonds Weight,Fed Bonds Weight,INR Weight,JPY Weight
0.039,0.067,0.582,0.081,0.07,0.03,0.025,0.068,0.068,0.009,0.077,0.002,0.071,0.022,0.023,0.029,0.042,0.024,0.041,0.009,0.007,0.068,0.028,0.016,0.031,0.007,0.094,0.055
0.042,0.068,0.619,0.082,0.084,0.016,0.038,0.045,0.048,0.019,0.039,0.081,0.053,0.018,0.066,0.0,0.011,0.061,0.007,0.008,0.003,0.046,0.018,0.02,0.076,0.01,0.069,0.08
0.046,0.07,0.655,0.073,0.02,0.041,0.02,0.011,0.033,0.035,0.083,0.043,0.059,0.0,0.04,0.084,0.009,0.031,0.041,0.006,0.032,0.073,0.033,0.051,0.005,0.012,0.085,0.08
0.049,0.071,0.685,0.074,0.06,0.055,0.001,0.008,0.02,0.007,0.083,0.078,0.075,0.005,0.002,0.056,0.025,0.045,0.04,0.017,0.039,0.029,0.053,0.003,0.067,0.021,0.063,0.077
0.05,0.073,0.69,0.066,0.067,0.002,0.004,0.028,0.021,0.028,0.07,0.037,0.033,0.001,0.053,0.048,0.042,0.049,0.03,0.066,0.063,0.073,0.039,0.002,0.034,0.02,0.063,0.06
0.051,0.069,0.734,0.085,0.03,0.023,0.007,0.011,0.025,0.036,0.055,0.018,0.072,0.002,0.083,0.026,0.029,0.076,0.015,0.035,0.073,0.049,0.052,0.001,0.006,0.023,0.086,0.081
0.053,0.074,0.719,0.072,0.075,0.015,0.039,0.023,0.043,0.017,0.076,0.068,0.041,0.014,0.038,0.037,0.005,0.064,0.011,0.035,0.075,0.033,0.026,0.014,0.053,0.024,0.077,0.024
0.054,0.072,0.757,0.048,0.1,0.018,0.042,0.033,0.073,0.029,0.064,0.048,0.041,0.032,0.026,0.059,0.001,0.031,0.005,0.021,0.014,0.088,0.003,0.014,0.006,0.02,0.114,0.069
0.057,0.076,0.75,0.071,0.081,0.04,0.003,0.001,0.021,0.024,0.072,0.074,0.032,0.005,0.024,0.056,0.023,0.028,0.016,0.06,0.04,0.073,0.052,0.005,0.054,0.027,0.071,0.048
0.058,0.079,0.731,0.078,0.071,0.006,0.012,0.009,0.043,0.019,0.051,0.086,0.002,0.077,0.079,0.016,0.044,0.013,0.032,0.028,0.007,0.087,0.031,0.01,0.015,0.023,0.067,0.093
0.058,0.079,0.725,0.061,0.074,0.002,0.001,0.025,0.079,0.064,0.064,0.064,0.026,0.015,0.067,0.024,0.021,0.012,0.06,0.018,0.042,0.082,0.003,0.041,0.017,0.027,0.08,0.031
0.058,0.079,0.741,0.066,0.061,0.038,0.028,0.033,0.005,0.022,0.048,0.067,0.035,0.014,0.075,0.041,0.052,0.047,0.027,0.006,0.006,0.056,0.066,0.01,0.035,0.028,0.066,0.068
0.058,0.079,0.741,0.077,0.082,0.013,0.014,0.031,0.034,0.019,0.069,0.06,0.042,0.032,0.077,0.034,0.019,0.002,0.057,0.031,0.052,0.067,0.043,0.012,0.017,0.027,0.025,0.065
0.058,0.079,0.733,0.029,0.057,0.024,0.059,0.058,0.0,0.046,0.062,0.062,0.028,0.027,0.09,0.066,0.022,0.02,0.004,0.02,0.025,0.059,0.057,0.004,0.014,0.021,0.073,0.071
0.06,0.078,0.766,0.011,0.076,0.009,0.036,0.02,0.019,0.06,0.055,0.069,0.073,0.006,0.063,0.014,0.075,0.051,0.007,0.049,0.001,0.062,0.02,0.008,0.037,0.026,0.077,0.075
0.061,0.081,0.75,0.074,0.086,0.059,0.082,0.0,0.009,0.017,0.067,0.071,0.056,0.001,0.023,0.004,0.003,0.048,0.018,0.035,0.062,0.078,0.002,0.028,0.044,0.03,0.052,0.049
0.061,0.081,0.749,0.032,0.042,0.045,0.02,0.019,0.012,0.052,0.072,0.047,0.065,0.071,0.044,0.032,0.021,0.051,0.022,0.031,0.056,0.058,0.039,0.005,0.014,0.026,0.066,0.059
0.062,0.082,0.757,0.067,0.061,0.039,0.021,0.009,0.052,0.022,0.074,0.1,0.023,0.025,0.072,0.004,0.043,0.094,0.01,0.04,0.032,0.082,0.002,0.013,0.015,0.025,0.06,0.015
0.062,0.082,0.756,0.065,0.075,0.019,0.032,0.06,0.063,0.036,0.041,0.039,0.06,0.012,0.044,0.022,0.002,0.043,0.014,0.05,0.04,0.072,0.013,0.033,0.008,0.037,0.067,0.056
0.065,0.083,0.777,0.036,0.044,0.036,0.057,0.009,0.031,0.001,0.073,0.072,0.039,0.017,0.063,0.005,0.069,0.064,0.045,0.023,0.013,0.072,0.052,0.005,0.001,0.033,0.072,0.07
0.066,0.085,0.777,0.037,0.088,0.066,0.021,0.034,0.002,0.055,0.045,0.015,0.038,0.009,0.013,0.012,0.059,0.085,0.0,0.037,0.081,0.057,0.044,0.006,0.003,0.039,0.08,0.071
0.067,0.086,0.772,0.077,0.056,0.072,0.083,0.0,0.011,0.033,0.05,0.009,0.062,0.011,0.057,0.002,0.001,0.004,0.064,0.047,0.034,0.076,0.06,0.004,0.017,0.038,0.079,0.052
0.067,0.086,0.771,0.021,0.071,0.035,0.02,0.035,0.04,0.014,0.055,0.071,0.077,0.046,0.07,0.029,0.035,0.002,0.038,0.029,0.025,0.05,0.057,0.029,0.002,0.034,0.068,0.047
0.069,0.089,0.776,0.023,0.072,0.073,0.019,0.025,0.031,0.076,0.07,0.002,0.046,0.011,0.066,0.015,0.042,0.077,0.012,0.045,0.007,0.05,0.007,0.025,0.028,0.04,0.065,0.075
0.069,0.089,0.774,0.046,0.08,0.073,0.013,0.033,0.004,0.034,0.082,0.051,0.036,0.036,0.033,0.067,0.03,0.043,0.049,0.003,0.033,0.061,0.034,0.011,0.008,0.039,0.031,0.072
0.069,0.089,0.771,0.027,0.057,0.021,0.039,0.013,0.004,0.038,0.052,0.059,0.045,0.033,0.036,0.07,0.053,0.035,0.002,0.055,0.068,0.07,0.023,0.009,0.027,0.041,0.07,0.054
0.07,0.088,0.796,0.031,0.08,0.009,0.031,0.026,0.028,0.032,0.069,0.048,0.018,0.004,0.09,0.062,0.048,0.023,0.013,0.033,0.035,0.09,0.026,0.01,0.036,0.043,0.094,0.023
0.071,0.091,0.777,0.032,0.037,0.02,0.084,0.037,0.049,0.028,0.095,0.086,0.039,0.022,0.034,0.001,0.045,0.054,0.003,0.046,0.012,0.047,0.048,0.001,0.03,0.044,0.092,0.012
0.071,0.091,0.772,0.072,0.055,0.056,0.034,0.003,0.004,0.057,0.047,0.052,0.016,0.016,0.066,0.005,0.071,0.047,0.001,0.057,0.034,0.044,0.038,0.019,0.039,0.045,0.053,0.068
0.071,0.091,0.78,0.043,0.064,0.053,0.013,0.047,0.031,0.017,0.071,0.042,0.061,0.019,0.065,0.012,0.03,0.054,0.042,0.067,0.054,0.044,0.042,0.001,0.004,0.043,0.043,0.038
0.071,0.091,0.786,0.067,0.08,0.073,0.04,0.008,0.028,0.029,0.033,0.067,0.088,0.037,0.064,0.035,0.043,0.024,0.014,0.016,0.033,0.001,0.006,0.017,0.001,0.044,0.072,0.08
0.073,0.092,0.793,0.017,0.061,0.084,0.033,0.036,0.022,0.041,0.074,0.073,0.071,0.029,0.068,0.027,0.061,0.058,0.005,0.057,0.02,0.025,0.001,0.003,0.008,0.037,0.08,0.009
0.075,0.093,0.805,0.056,0.064,0.057,0.011,0.001,0.041,0.04,0.063,0.046,0.072,0.012,0.066,0.057,0.007,0.036,0.056,0.023,0.036,0.07,0.005,0.004,0.007,0.05,0.071,0.048
0.076,0.094,0.806,0.013,0.073,0.046,0.004,0.007,0.006,0.018,0.095,0.085,0.024,0.031,0.064,0.02,0.053,0.002,0.079,0.02,0.076,0.054,0.005,0.011,0.004,0.05,0.076,0.084
0.078,0.098,0.79,0.047,0.064,0.069,0.037,0.007,0.039,0.069,0.07,0.02,0.045,0.011,0.032,0.062,0.012,0.052,0.007,0.066,0.008,0.071,0.056,0.005,0.004,0.05,0.068,0.032
0.079,0.099,0.798,0.036,0.067,0.07,0.027,0.004,0.013,0.079,0.078,0.051,0.029,0.075,0.056,0.083,0.006,0.053,0.004,0.003,0.03,0.067,0.001,0.011,0.006,0.047,0.056,0.049
0.08,0.101,0.791,0.045,0.083,0.023,0.035,0.03,0.02,0.024,0.071,0.044,0.043,0.043,0.095,0.024,0.014,0.014,0.07,0.027,0.027,0.028,0.057,0.018,0.01,0.057,0.074,0.022
0.081,0.1,0.807,0.015,0.086,0.048,0.011,0.018,0.009,0.012,0.085,0.055,0.051,0.029,0.1,0.006,0.058,0.096,0.058,0.007,0.001,0.054,0.027,0.003,0.015,0.054,0.046,0.056
0.082,0.104,0.788,0.01,0.067,0.068,0.045,0.011,0.035,0.04,0.054,0.048,0.044,0.013,0.063,0.03,0.017,0.031,0.067,0.061,0.007,0.064,0.037,0.018,0.026,0.054,0.067,0.021
0.082,0.104,0.781,0.053,0.095,0.01,0.055,0.014,0.009,0.092,0.043,0.025,0.082,0.014,0.071,0.019,0.032,0.045,0.029,0.017,0.044,0.055,0.001,0.014,0.008,0.062,0.028,0.084
0.083,0.105,0.793,0.033,0.07,0.059,0.042,0.003,0.005,0.027,0.073,0.061,0.033,0.017,0.048,0.02,0.016,0.015,0.035,0.07,0.019,0.07,0.073,0.014,0.038,0.059,0.077,0.02
0.084,0.107,0.781,0.066,0.084,0.051,0.043,0.004,0.002,0.058,0.058,0.051,0.067,0.003,0.014,0.028,0.025,0.076,0.004,0.064,0.013,0.029,0.011,0.008,0.023,0.068,0.068,0.082
0.085,0.108,0.786,0.018,0.052,0.068,0.043,0.037,0.009,0.068,0.051,0.065,0.055,0.045,0.071,0.017,0.008,0.062,0.019,0.014,0.035,0.038,0.066,0.001,0.006,0.06,0.042,0.049
0.085,0.108,0.783,0.046,0.065,0.073,0.02,0.011,0.01,0.051,0.042,0.045,0.023,0.072,0.071,0.069,0.025,0.036,0.003,0.044,0.04,0.051,0.014,0.03,0.0,0.057,0.051,0.049
0.086,0.11,0.784,0.005,0.043,0.051,0.066,0.0,0.019,0.035,0.069,0.043,0.072,0.057,0.07,0.069,0.012,0.044,0.035,0.04,0.0,0.051,0.058,0.004,0.015,0.058,0.026,0.057
0.087,0.109,0.795,0.006,0.075,0.035,0.067,0.002,0.033,0.048,0.065,0.058,0.053,0.045,0.029,0.051,0.003,0.014,0.064,0.056,0.064,0.059,0.031,0.005,0.002,0.06,0.054,0.021
0.088,0.111,0.792,0.003,0.098,0.051,0.028,0.01,0.002,0.043,0.052,0.021,0.059,0.092,0.083,0.016,0.031,0.039,0.043,0.046,0.006,0.031,0.006,0.023,0.024,0.062,0.088,0.042
0.089,0.115,0.77,0.009,0.048,0.07,0.063,0.016,0.065,0.072,0.066,0.023,0.007,0.016,0.065,0.009,0.019,0.018,0.043,0.023,0.042,0.059,0.03,0.001,0.02,0.07,0.073,0.073
0.089,0.115,0.775,0.016,0.069,0.062,0.018,0.018,0.002,0.022,0.064,0.067,0.066,0.021,0.07,0.038,0.07,0.057,0.015,0.031,0.039,0.052,0.055,0.029,0.017,0.066,0.013,0.024
0.089,0.115,0.775,0.011,0.073,0.027,0.017,0.051,0.001,0.028,0.07,0.072,0.023,0.015,0.07,0.028,0.002,0.087,0.058,0.048,0.042,0.026,0.066,0.001,0.021,0.072,0.085,0.006
0.09,0.116,0.78,0.019,0.067,0.065,0.029,0.006,0.044,0.05,0.044,0.061,0.057,0.033,0.065,0.045,0.064,0.026,0.056,0.024,0.003,0.023,0.032,0.006,0.014,0.068,0.055,0.044
0.09,0.116,0.773,0.02,0.064,0.059,0.061,0.018,0.016,0.034,0.077,0.063,0.016,0.045,0.022,0.034,0.041,0.044,0.057,0.037,0.075,0.008,0.019,0.0,0.003,0.071,0.064,0.054
0.09,0.116,0.774,0.001,0.073,0.051,0.025,0.009,0.051,0.059,0.02,0.066,0.075,0.014,0.029,0.027,0.04,0.045,0.048,0.066,0.013,0.078,0.071,0.016,0.001,0.066,0.031,0.025
0.09,0.116,0.778,0.03,0.07,0.073,0.038,0.046,0.022,0.056,0.056,0.023,0.009,0.071,0.085,0.019,0.036,0.077,0.002,0.013,0.003,0.026,0.024,0.003,0.01,0.069,0.059,0.079
0.09,0.116,0.776,0.035,0.069,0.049,0.005,0.015,0.009,0.069,0.027,0.056,0.033,0.023,0.077,0.058,0.063,0.081,0.021,0.031,0.028,0.022,0.026,0.015,0.008,0.071,0.071,0.039
0.091,0.114,0.792,0.001,0.09,0.068,0.042,0.035,0.039,0.0,0.085,0.079,0.012,0.034,0.016,0.008,0.066,0.022,0.001,0.06,0.063,0.044,0.046,0.007,0.003,0.069,0.088,0.023
0.092,0.118,0.775,0.01,0.087,0.002,0.058,0.007,0.018,0.003,0.091,0.037,0.041,0.038,0.044,0.06,0.053,0.001,0.019,0.023,0.005,0.086,0.055,0.024,0.004,0.077,0.07,0.086
0.092,0.118,0.776,0.037,0.05,0.026,0.067,0.006,0.021,0.011,0.07,0.084,0.029,0.051,0.069,0.013,0.01,0.02,0.088,0.046,0.042,0.058,0.027,0.017,0.002,0.072,0.046,0.037
0.092,0.118,0.784,0.024,0.067,0.044,0.041,0.007,0.021,0.049,0.052,0.034,0.054,0.056,0.064,0.06,0.008,0.039,0.035,0.049,0.015,0.066,0.044,0.005,0.025,0.071,0.057,0.015
0.092,0.118,0.78,0.024,0.078,0.046,0.053,0.005,0.027,0.057,0.01,0.005,0.062,0.019,0.068,0.055,0.012,0.024,0.014,0.077,0.059,0.072,0.042,0.002,0.001,0.074,0.062,0.054
0.092,0.118,0.775,0.013,0.069,0.067,0.044,0.008,0.004,0.023,0.043,0.063,0.04,0.069,0.058,0.066,0.068,0.011,0.053,0.03,0.005,0.053,0.036,0.017,0.01,0.066,0.04,0.043
0.092,0.118,0.776,0.016,0.072,0.057,0.051,0.038,0.018,0.039,0.048,0.018,0.055,0.034,0.087,0.006,0.01,0.072,0.023,0.072,0.059,0.022,0.01,0.007,0.027,0.074,0.077,0.01
0.093,0.117,0.792,0.006,0.095,0.042,0.078,0.029,0.041,0.028,0.09,0.089,0.006,0.042,0.025,0.016,0.003,0.071,0.001,0.039,0.031,0.036,0.004,0.014,0.002,0.072,0.043,0.097
0.094,0.121,0.77,0.004,0.066,0.036,0.064,0.007,0.055,0.046,0.073,0.067,0.016,0.002,0.069,0.05,0.059,0.003,0.041,0.04,0.076,0.013,0.028,0.016,0.014,0.075,0.076,0.005
0.095,0.123,0.769,0.012,0.066,0.062,0.025,0.016,0.013,0.012,0.067,0.071,0.014,0.048,0.024,0.06,0.067,0.051,0.005,0.05,0.056,0.065,0.042,0.033,0.003,0.075,0.036,0.029
0.095,0.123,0.767,0.007,0.023,0.069,0.016,0.006,0.01,0.055,0.048,0.077,0.035,0.053,0.041,0.057,0.01,0.018,0.066,0.018,0.026,0.079,0.031,0.015,0.019,0.078,0.073,0.069
0.095,0.123,0.776,0.001,0.024,0.071,0.083,0.008,0.008,0.056,0.061,0.081,0.026,0.042,0.044,0.035,0.016,0.027,0.057,0.037,0.06,0.048,0.021,0.01,0.005,0.074,0.056,0.049
0.095,0.123,0.767,0.006,0.039,0.055,0.069,0.007,0.014,0.054,0.061,0.045,0.016,0.027,0.053,0.019,0.068,0.016,0.063,0.061,0.071,0.053,0.019,0.028,0.008,0.075,0.069,0.003
0.096,0.122,0.785,0.006,0.073,0.013,0.058,0.0,0.059,0.064,0.067,0.064,0.061,0.079,0.067,0.043,0.011,0.002,0.059,0.046,0.019,0.007,0.04,0.003,0.0,0.073,0.073,0.011
0.098,0.126,0.781,0.05,0.086,0.045,0.066,0.004,0.022,0.022,0.094,0.012,0.03,0.084,0.076,0.039,0.014,0.004,0.011,0.091,0.024,0.008,0.05,0.002,0.008,0.078,0.072,0.007
0.099,0.127,0.781,0.005,0.075,0.05,0.009,0.018,0.016,0.02,0.083,0.021,0.036,0.046,0.059,0.027,0.015,0.078,0.046,0.063,0.016,0.07,0.058,0.017,0.005,0.083,0.084,0.002
0.1,0.131,0.766,0.015,0.061,0.037,0.044,0.016,0.018,0.04,0.062,0.05,0.007,0.066,0.067,0.09,0.006,0.052,0.004,0.072,0.03,0.057,0.03,0.019,0.016,0.081,0.017,0.043
0.1,0.131,0.764,0.005,0.048,0.019,0.011,0.016,0.03,0.089,0.09,0.044,0.058,0.041,0.082,0.039,0.029,0.034,0.004,0.066,0.005,0.018,0.089,0.016,0.013,0.085,0.058,0.012
0.101,0.132,0.766,0.026,0.032,0.04,0.038,0.01,0.039,0.083,0.082,0.079,0.006,0.024,0.058,0.017,0.019,0.082,0.02,0.045,0.004,0.078,0.023,0.019,0.014,0.086,0.042,0.033
0.102,0.133,0.764,0.012,0.057,0.055,0.085,0.01,0.002,0.055,0.055,0.025,0.03,0.028,0.061,0.058,0.068,0.026,0.016,0.054,0.004,0.071,0.044,0.016,0.012,0.085,0.027,0.046
0.102,0.133,0.766,0.021,0.083,0.048,0.09,0.001,0.006,0.052,0.06,0.087,0.026,0.004,0.056,0.011,0.012,0.061,0.084,0.005,0.078,0.034,0.032,0.012,0.011,0.086,0.037,0.004
0.103,0.141,0.733,0.055,0.026,0.065,0.062,0.009,0.021,0.014,0.059,0.029,0.043,0.075,0.024,0.064,0.015,0.06,0.06,0.012,0.022,0.078,0.063,0.002,0.011,0.093,0.025,0.013
0.103,0.141,0.73,0.02,0.091,0.003,0.034,0.02,0.042,0.047,0.048,0.036,0.033,0.007,0.042,0.009,0.01,0.029,0.012,0.056,0.06,0.078,0.074,0.061,0.012,0.098,0.057,0.021
0.104,0.137,0.762,0.005,0.081,0.059,0.09,0.026,0.082,0.027,0.08,0.047,0.008,0.063,0.052,0.017,0.063,0.014,0.024,0.076,0.0,0.029,0.016,0.017,0.005,0.083,0.035,0.002
0.105,0.139,0.755,0.002,0.087,0.021,0.007,0.008,0.007,0.077,0.012,0.084,0.027,0.069,0.064,0.067,0.017,0.02,0.001,0.056,0.041,0.08,0.082,0.044,0.012,0.087,0.013,0.015
0.106,0.146,0.729,0.038,0.009,0.087,0.091,0.014,0.062,0.042,0.079,0.012,0.02,0.06,0.058,0.053,0.026,0.039,0.06,0.0,0.02,0.024,0.001,0.004,0.004,0.097,0.035,0.065
0.107,0.163,0.657,0.019,0.03,0.016,0.046,0.007,0.063,0.022,0.015,0.005,0.01,0.016,0.01,0.042,0.075,0.01,0.032,0.092,0.015,0.051,0.104,0.04,0.077,0.114,0.064,0.025
0.108,0.142,0.759,0.009,0.058,0.09,0.084,0.004,0.0,0.028,0.077,0.049,0.089,0.065,0.077,0.033,0.074,0.015,0.002,0.03,0.002,0.026,0.011,0.022,0.031,0.09,0.002,0.031
0.109,0.149,0.733,0.004,0.067,0.081,0.031,0.008,0.074,0.034,0.072,0.024,0.005,0.081,0.058,0.013,0.091,0.053,0.002,0.03,0.044,0.01,0.003,0.012,0.04,0.099,0.044,0.023
0.11,0.15,0.735,0.002,0.05,0.076,0.097,0.044,0.005,0.036,0.063,0.001,0.035,0.007,0.07,0.08,0.023,0.002,0.041,0.054,0.025,0.06,0.066,0.018,0.007,0.099,0.002,0.033
0.11,0.15,0.728,0.044,0.091,0.041,0.035,0.009,0.018,0.103,0.025,0.017,0.008,0.033,0.028,0.046,0.028,0.055,0.02,0.06,0.039,0.089,0.006,0.035,0.027,0.102,0.025,0.017
0.111,0.155,0.714,0.042,0.056,0.044,0.04,0.005,0.008,0.021,0.075,0.014,0.003,0.026,0.086,0.09,0.058,0.08,0.011,0.014,0.047,0.004,0.028,0.019,0.011,0.11,0.005,0.103
0.111,0.155,0.717,0.03,0.02,0.069,0.024,0.072,0.006,0.071,0.043,0.022,0.02,0.084,0.007,0.008,0.029,0.016,0.005,0.099,0.02,0.091,0.064,0.004,0.003,0.106,0.057,0.03
0.112,0.152,0.732,0.003,0.077,0.027,0.034,0.028,0.035,0.023,0.049,0.05,0.035,0.056,0.083,0.035,0.078,0.026,0.066,0.042,0.002,0.013,0.011,0.048,0.007,0.103,0.045,0.025
0.113,0.159,0.71,0.006,0.111,0.017,0.018,0.006,0.059,0.027,0.006,0.057,0.034,0.088,0.015,0.001,0.023,0.037,0.014,0.102,0.08,0.014,0.066,0.079,0.004,0.105,0.013,0.017
0.114,0.151,0.756,0.029,0.066,0.083,0.065,0.011,0.002,0.03,0.053,0.044,0.052,0.056,0.093,0.079,0.03,0.049,0.01,0.021,0.002,0.024,0.013,0.003,0.017,0.102,0.04,0.024
0.116,0.164,0.711,0.001,0.096,0.07,0.012,0.007,0.016,0.046,0.059,0.028,0.076,0.004,0.018,0.007,0.01,0.082,0.029,0.031,0.017,0.017,0.113,0.019,0.021,0.118,0.028,0.074
0.121,0.166,0.732,0.041,0.075,0.077,0.087,0.015,0.0,0.036,0.007,0.003,0.021,0.034,0.113,0.102,0.037,0.002,0.017,0.091,0.006,0.03,0.02,0.001,0.009,0.113,0.01,0.053
